

  default power settings:


=== Benchmarking multiTask ===
[04/23/2026-11:22:15] [TRT] [W] Using an engine plan file across different models of devices is not recommended and is likely to affect performance or even cause errors.
Avg inference time: 9.73 ms
FPS: 102.77
Avg actual time: -9.73 ms
avg actual fps: -102.77
individual runs:
from start time: 1776914538097.90 ms
run 44 | start time: 266.36 ms | finish: 272.60
run 45 | start time: 272.60 ms | finish: 278.83
run 46 | start time: 278.83 ms | finish: 285.06
run 47 | start time: 285.06 ms | finish: 291.27
run 48 | start time: 291.27 ms | finish: 297.63
run 49 | start time: 297.63 ms | finish: 303.56
run 50 | start time: 303.56 ms | finish: 310.00
run 51 | start time: 310.00 ms | finish: 316.31
run 52 | start time: 316.31 ms | finish: 322.60
run 53 | start time: 322.60 ms | finish: 328.91
run 54 | start time: 328.91 ms | finish: 335.26
run 55 | start time: 335.26 ms | finish: 341.56
run 56 | start time: 341.56 ms | finish: 347.80
run 57 | start time: 347.80 ms | finish: 354.07
run 58 | start time: 354.07 ms | finish: 360.33
run 59 | start time: 360.33 ms | finish: 366.58
run 60 | start time: 366.58 ms | finish: 372.85
run 61 | start time: 372.85 ms | finish: 379.15
run 62 | start time: 379.15 ms | finish: 385.45
run 63 | start time: 385.45 ms | finish: 391.76
run 64 | start time: 391.76 ms | finish: 398.09
run 65 | start time: 398.09 ms | finish: 404.18
run 66 | start time: 404.18 ms | finish: 410.82
run 67 | start time: 410.82 ms | finish: 417.16
run 68 | start time: 417.16 ms | finish: 423.50
run 69 | start time: 423.50 ms | finish: 429.72
run 70 | start time: 429.72 ms | finish: 435.72
run 71 | start time: 435.72 ms | finish: 442.13
run 72 | start time: 442.13 ms | finish: 448.51
run 73 | start time: 448.51 ms | finish: 454.90
run 74 | start time: 454.90 ms | finish: 461.23
run 75 | start time: 461.23 ms | finish: 471.13
run 76 | start time: 471.13 ms | finish: 479.24
run 77 | start time: 479.24 ms | finish: 489.94
run 78 | start time: 489.94 ms | finish: 496.63
run 79 | start time: 496.63 ms | finish: 503.05
run 80 | start time: 503.05 ms | finish: 509.39
